Date, Name , Memo , Barclays 53895114 , Vat , Net , Purchase / Direct Cost ,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-22,A2Z SECURITY SERVICES LTD,A2Z SECURITY LIMIT    INVOICE            BBP, 771.50 , 128.58 , 642.92 , 642.92 , A2Z Security Services Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
24-Mar-22,A2Z SECURITY SERVICES LTD,A2Z SECURITY LIMIT    INVOICE            BBP, 771.50 , 128.58 , 642.92 , 642.92 , A2Z Security Services Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
24-Oct-22,AA GUARDS LIMITED,AAGUARD LTD           AS INVOICED BBP," 5,380.20 ", 896.70 ," 4,483.50 "," 4,483.50 ", AA GUARDS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,AA GUARDS LIMITED,AAGUARD LTD           AS INVOICED BBP," 6,503.04 "," 1,083.84 "," 5,419.20 "," 5,419.20 ", AA GUARDS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,AA GUARDS LIMITED,AAGUARD LTD           AS INVOICED BBP," 4,896.11 ", 816.02 ," 4,080.09 "," 4,080.09 ", AA GUARDS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,AA GUARDS LIMITED,AAGUARD LTD           AS INVOICED BBP," 4,892.46 ", 815.41 ," 4,077.05 "," 4,077.05 ", AA GUARDS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
3-Mar-23,AA GUARDS LIMITED,AAGUARD LTD           AS INVOICED BBP," 5,114.09 ", 852.35 ," 4,261.74 "," 4,261.74 ", AA GUARDS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,AA GUARDS LIMITED,AAGUARD LTD           AS INVOICED BBP," 3,258.86 ", 543.14 ," 2,715.72 "," 2,715.72 ", AA GUARDS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
28-Apr-23,AA GUARDS LIMITED,AA GUARD LTD           AS INVOICED BBP," 5,319.60 ", 886.60 ," 4,433.00 "," 4,433.00 ", AA GUARDS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep-21,AAAS SECURITY,AAAS SECURITY COMP    INVOICE            BBP," 5,000.00 ", 833.33 ," 4,166.67 "," 4,166.67 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
27-Sep-21,AAAS SECURITY,AAAS SECURITY COMP    INVOICE            FT ," 7,186.00 "," 1,197.67 "," 5,988.33 "," 5,988.33 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
19-Oct-21,AAAS SECURITY,AAAS SECURITY COMP    INVOICE            FT ," 7,186.00 "," 1,197.67 "," 5,988.33 "," 5,988.33 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
