Date,VAT Quarter,Quarter Number (HMRC),Supplier Name,Description / Memo, Gross Amount (£) , VAT (£) , Net Amount (£) ,Notes
04/06/2021,1. May'21 to July'21,Q3 - 2021,Alcumus SafeContractor Limited,ALCUMUS SAFECONTRA    TS4171 / 09-MAR-20 BBP, 976.80 , 162.80 , 814.00 ,
18/05/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 17 MAY          BDC, 109.55 , 18.26 , 91.29 ,
24/05/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 21 MAY          BDC, 70.02 , 11.67 , 58.35 ,
25/05/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 24 MAY          BDC, 112.07 , 18.68 , 93.39 ,
28/05/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 27 MAY          BDC, 104.40 , 17.40 , 87.00 ,
07/06/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 04 JUN          BDC, 58.82 , 9.80 , 49.02 ,
10/06/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 09 JUN          BDC, 174.19 , 29.03 , 145.16 ,
14/06/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 11 JUN          BDC, 120.85 , 20.14 , 100.71 ,
15/06/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 14 JUN          BDC, 82.68 , 13.78 , 68.90 ,
17/06/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 16 JUN          BDC, 110.32 , 18.39 , 91.93 ,
21/06/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 18 JUN          BDC, 60.08 , 10.01 , 50.07 ,
23/06/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 22 JUN          BDC, 89.00 , 14.83 , 74.17 ,
25/06/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 24 JUN          BDC, 50.12 , 8.35 , 41.77 ,
29/06/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 28 JUN          BDC, 155.28 , 25.88 , 129.40 ,
02/07/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 01 JUL          BDC, 76.34 , 12.72 , 63.62 ,
06/07/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 05 JUL          BDC, 79.09 , 13.18 , 65.91 ,
13/07/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 12 JUL          BDC, 70.28 , 11.71 , 58.57 ,
14/07/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 13 JUL          BDC, 99.17 , 16.53 , 82.64 ,
19/07/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 16 JUL          BDC, 145.93 , 24.32 , 121.61 ,
21/07/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 20 JUL          BDC, 55.67 , 9.28 , 46.39 ,
23/07/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 22 JUL          BDC, 85.14 , 14.19 , 70.95 ,
27/07/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 26 JUL          BDC, 165.47 , 27.58 , 137.89 ,
28/07/2021,1. May'21 to July'21,Q3 - 2021,ALLDAYPA Communication,WWW.ALLDAYPA.COM      ON 27 JUL          BDC, 133.24 , 22.21 , 111.03 ,
24/05/2021,1. May'21 to July'21,Q3 - 2021,BIFFA WASTE SERVICES LIMITED,BIFFA WASTE SERVIC    B41299             DDR, 71.57 , 11.93 , 59.64 ,
21/06/2021,1. May'21 to July'21,Q3 - 2021,BIFFA WASTE SERVICES LIMITED,BIFFA WASTE SERVIC    B41299             DDR, 89.46 , 14.91 , 74.55 ,
26/07/2021,1. May'21 to July'21,Q3 - 2021,BIFFA WASTE SERVICES LIMITED,BIFFA WASTE SERVIC    B41299             DDR, 71.57 , 11.93 , 59.64 ,
06/05/2021,1. May'21 to July'21,Q3 - 2021,O2 (UK) LIMITED T/A Telefónica UK Limited,O2                    05331910/001       DDR, 47.88 , 7.98 , 39.90 ,
12/05/2021,1. May'21 to July'21,Q3 - 2021,O2 (UK) LIMITED T/A Telefónica UK Limited,O2                    GED37460874        DDR, 28.24 , 4.71 , 23.53 ,
07/06/2021,1. May'21 to July'21,Q3 - 2021,O2 (UK) LIMITED T/A Telefónica UK Limited,O2                    05331910/001       DDR, 47.88 , 7.98 , 39.90 ,
11/06/2021,1. May'21 to July'21,Q3 - 2021,O2 (UK) LIMITED T/A Telefónica UK Limited,O2                    GED37460874        DDR, 27.66 , 4.61 , 23.05 ,
07/07/2021,1. May'21 to July'21,Q3 - 2021,O2 (UK) LIMITED T/A Telefónica UK Limited,O2                    05331910/001       DDR, 47.88 , 7.98 , 39.90 ,
12/07/2021,1. May'21 to July'21,Q3 - 2021,O2 (UK) LIMITED T/A Telefónica UK Limited,O2                    GED37460874        DDR, 30.66 , 5.11 , 25.55 ,
10/05/2021,1. May'21 to July'21,Q3 - 2021,Wave Tel Ltd,WAVE TEL LTD          1001054            DDR, 81.62 , 13.60 , 68.02 ,
09/06/2021,1. May'21 to July'21,Q3 - 2021,Wave Tel Ltd,WAVE TEL LTD          1001054            DDR, 86.60 , 14.43 , 72.17 ,
07/07/2021,1. May'21 to July'21,Q3 - 2021,Wave Tel Ltd,WAVE TEL LTD          1001054            DDR, 86.36 , 14.39 , 71.97 ,
10/05/2021,1. May'21 to July'21,Q3 - 2021,1Password,1PASSWORD             CANADA                , 3.70 , 0.62 , 3.08 ,
09/06/2021,1. May'21 to July'21,Q3 - 2021,1Password,1PASSWORD             CANADA                , 3.63 , 0.61 , 3.03 ,
09/07/2021,1. May'21 to July'21,Q3 - 2021,1Password,1PASSWORD             CANADA                , 3.73 , 0.62 , 3.11 ,
11/05/2021,1. May'21 to July'21,Q3 - 2021,ADOBE ACROBAT,ADOBE ACROPRO SUBS    IRELAND               , 15.17 ,, 15.17 ,
11/06/2021,1. May'21 to July'21,Q3 - 2021,ADOBE ACROBAT,ADOBE ACROPRO SUBS    IRELAND               , 15.17 ,, 15.17 ,
12/07/2021,1. May'21 to July'21,Q3 - 2021,ADOBE ACROBAT,ADOBE ACROPRO SUBS    IRELAND               , 15.17 ,, 15.17 ,
09/07/2021,1. May'21 to July'21,Q3 - 2021,ANGEL SPRINGS LTD,ANGEL SPRINGS LTD     ON 08 JUL          BDC, 95.40 ,, 95.40 ,
17/05/2021,1. May'21 to July'21,Q3 - 2021,Autoserve Ltd,AUTOSERVE LTD         AS8020845          DDR, 46.64 , 7.77 , 38.87 ,
15/06/2021,1. May'21 to July'21,Q3 - 2021,Autoserve Ltd,AUTOSERVE LTD         AS8020845          DDR, 46.64 , 7.77 , 38.87 ,
15/07/2021,1. May'21 to July'21,Q3 - 2021,Autoserve Ltd,AUTOSERVE LTD         AS8020845          DDR, 46.64 , 7.77 , 38.87 ,
