Date,Type,No.,Customer,Memo,Total before VAT,VAT,Amount,Balance,Status
01/05/2021,Invoice,2752,Alandale Logistics Ltd,WE 11-04-21 FULHAM,145.69,29.14,174.83,0.00,paid
01/05/2021,Invoice,2754,Alandale Logistics Ltd,WE 11-04-21 SHARD PLACE,155.40,31.08,186.48,0.00,paid
01/05/2021,Invoice,2749,Alandale Logistics Ltd,WE 11-04-21 CLEVELAND,213.75,42.75,256.50,0.00,paid
01/05/2021,Invoice,2750,Alandale Logistics Ltd,WE 11-04-21 BOROUGH YARD,270.00,54.00,324.00,0.00,paid
01/05/2021,Invoice,2751,Alandale Logistics Ltd,WE 11-04-21 CONTROL ROOM,310.80,62.16,372.96,0.00,paid
01/05/2021,Invoice,2756,Alandale Logistics Ltd,WE 18-04-21 SHERWOOD STREET,"1,042.48",208.50,"1,250.98",0.00,paid
01/05/2021,Invoice,2748,Alandale Logistics Ltd,WE 11-04-21 SHERWOOD STREET,"1,042.48",208.50,"1,250.98",0.00,paid
01/05/2021,Invoice,2755,Alandale Logistics Ltd,WE 11-04-21 WARDIAN,"1,552.50",310.50,"1,863.00",0.00,paid
01/05/2021,Invoice,2753,Alandale Logistics Ltd,WE 11-04-21 DIDCOT (APPLECART),"4,001.55",800.31,"4,801.86",0.00,paid
01/05/2021,Invoice,2745,ISSUKIRE,WC 19 APRIL 2021 P105460454-INV 246,"5,228.55","1,045.71","6,274.26",0.00,paid
02/05/2021,Invoice,2757,Alandale Logistics Ltd,WE 18-04-21 CLEVELAND,112.50,22.50,135.00,0.00,paid
02/05/2021,Invoice,2761,Alandale Logistics Ltd,WE 18-04-21 LOWER THAMES,152.40,30.48,182.88,0.00,paid
02/05/2021,Invoice,2758,Alandale Logistics Ltd,WE 18-04-21 BOROUGH YARD,270.00,54.00,324.00,0.00,paid
02/05/2021,Invoice,2760,Alandale Logistics Ltd,WE 18-04-21 FULHAM,310.80,62.16,372.96,0.00,paid
02/05/2021,Invoice,2759,Alandale Logistics Ltd,WE 18-04-21 CONTROL ROOM,310.80,62.16,372.96,0.00,paid
02/05/2021,Invoice,2763,Alandale Logistics Ltd,WE 18-04-21 WARDIAN,"1,147.50",229.50,"1,377.00",0.00,paid
02/05/2021,Invoice,2762,Alandale Logistics Ltd,WE 18-04-21 DIDCOT (APPLECART),"5,620.30","1,124.06","6,744.36",0.00,paid
02/05/2021,Invoice,2764,Brooknight Security,WE 03-09-21 APPROVED,253.00,50.60,303.60,0.00,paid
02/05/2021,Invoice,2765,ISSUKIRE,WC 26 APRIL 21 P105469531 INV 249,"5,155.91","1,031.18","6,187.09",0.00,paid
03/05/2021,Invoice,2766,G4S Secure Solutions (UK),PENTA HOTEL UK1115028321,"9,064.00","1,812.80","10,876.80",0.00,paid
03/05/2021,Invoice,2802,OCS,274954,"22,768.75","4,553.75","27,322.50",0.00,paid
04/05/2021,Invoice,2914,Accident Victims Helpline Ltd,,"4,200.00",840.00,"5,040.00",0.00,paid
07/05/2021,Invoice,2774,Alandale Logistics Ltd,WE 25-04-21 LEWISHAM,270.00,54.00,324.00,0.00,paid
07/05/2021,Invoice,2770,Alandale Logistics Ltd,WE 25-04-21 BOROUGH YARD,270.00,54.00,324.00,0.00,paid
07/05/2021,Invoice,2772,Alandale Logistics Ltd,WE 25-04-21 FULHAM,310.80,62.16,372.96,0.00,paid
07/05/2021,Invoice,2771,Alandale Logistics Ltd,WE 25-04-21 CONTROL ROOM,310.80,62.16,372.96,0.00,paid
07/05/2021,Invoice,2769,Alandale Logistics Ltd,WE 25-04-21 CLEVELAND,675.00,135.00,810.00,0.00,paid
07/05/2021,Invoice,2768,Alandale Logistics Ltd,WE 25-04-21 WARWICK COURT,720.00,144.00,864.00,0.00,paid
07/05/2021,Invoice,2775,Alandale Logistics Ltd,WE 25-04-21 WARDIAN,"1,080.00",216.00,"1,296.00",0.00,paid
07/05/2021,Invoice,2767,Alandale Logistics Ltd,WE 25-04-21 SHERWOOD STREET,"1,877.75",375.55,"2,253.30",0.00,paid
07/05/2021,Invoice,2773,Alandale Logistics Ltd,WE 25-04-21 DIDCOT + LAND WEST OF CULHAM,"7,018.20","1,403.64","8,421.84",0.00,paid
07/05/2021,Invoice,2776,BRIDGE SECURITY SERVICES LTD,WE 02-05-2021,"1,320.00",264.00,"1,584.00",0.00,paid
10/05/2021,Invoice,2870,OCS,276187,"35,887.55","7,177.51","43,065.06",0.00,paid
15/05/2021,Invoice,2782,GROSVERN,APRIL 2021,"4,498.25",899.65,"5,397.90",0.00,paid
15/05/2021,Invoice,2783,Omni Security Services Ltd,APRIL 2021,"2,675.02",535.00,"3,210.02",0.00,paid
15/05/2021,Invoice,2778,Securitas Security Services (UK) Ltd,ROBERT APRIL 2021,"1,690.00",338.00,"2,028.00",0.00,paid
15/05/2021,Invoice,2779,STMSECUR,APRIL 2021 EASTREN,"1,777.57",355.52,"2,133.09",0.00,paid
15/05/2021,Invoice,2780,SWL Security Services,APRIL 2021,"2,344.16",468.83,"2,812.99",0.00,paid
15/05/2021,Invoice,2784,Tutelar Security Ltd,APRIL 2021,480.00,96.00,576.00,0.00,paid
15/05/2021,Invoice,2781,UK Protection Ltd,APRIL 2021,387.50,77.50,465.00,0.00,paid
16/05/2021,Invoice,2785,BRIDGE SECURITY SERVICES LTD,WE 09-05-2021,"1,560.00",312.00,"1,872.00",0.00,paid
17/05/2021,Invoice,2804,OCS,280011,"32,540.30","6,508.06","39,048.36",0.00,paid
19/05/2021,Invoice,2791,BRIDGE SECURITY SERVICES LTD,WE 16-05-2021,"1,440.00",288.00,"1,728.00",0.00,paid
19/05/2021,Invoice,2787,G4S Secure Solutions (UK),CM19 5AW- May2021 UK1115029075,"1,938.00",387.60,"2,325.60",0.00,paid
19/05/2021,Invoice,2790,G4S Secure Solutions (UK),SG1 2FX  May 2021 UK1115029040,"2,142.00",428.40,"2,570.40",0.00,paid
19/05/2021,Invoice,2789,G4S Secure Solutions (UK),March 2021 SG1 2NY / SG12 ODJ UK1115029045,"2,907.00",581.40,"3,488.40",0.00,paid
19/05/2021,Invoice,2788,G4S Secure Solutions (UK),GSK SG12 0DP May 2021 UK1115029043,"4,845.00",969.00,"5,814.00",0.00,paid
19/05/2021,Invoice,2786,G4S Secure Solutions (UK),Park Grand UK1115028418,"33,227.18","6,645.44","39,872.62",0.00,paid
