LocationID,Location
1770,O2 Stirling Scotland FK8 2EA
1780,23 Friary Street Guildford GU1 4EH
1789,34 Broadway ParkSouth Gyle Edinburgh EH12 9JZ
1793,O2 Kinnaird Park Edinburgh EH15 3RD
1815,Barclays Cadarn Avenune Business Park Cardiff CF23 8FF
1835,Hitachi Rail Depot Swansea SA1 2EN
1837,HMLR Holland House Plymouth PL7 5ET
1838,HMLR Peterborough Stuart House PE1 1QF
1852,O2 Birmingham West Midlands B2 4RQ
1864,Royal Mail Peterborough Whitehead Drive Fengate Peterborough PE1 5XB
1866,HMLR Seaton Court PL6 5WS
1872,Royal Mail Solihull West Mids B91 3AA
1876,TSB 120 George Street Edinburgh EH2 4TS
1879,TSB Henry Duncan House EH2 4TS
1883,Virgin Money Discovery House Norwich Norfolk NR4 6EJ
1884,O2 Southampton Hampshire SO14 7EG
2007,Hobbycraft Bristol Imperial Bristol Imperial Park Unit 2C Bristol BS13 7TJ
2012,O2 KILMARNOCK Ayrshire Scotland KA1 1NP
2024,Odeon Uxbridge UB8 1GD
2031,Odeon Guildford GU1 4SJ
2041,02 DUDLEY Unit L30 Lower Level Intu Merry Hill DY5 1SY
2043,Hobbycraft Crawley RH11 7XN
2046,Unit 2 St Giles Centre 121 High Street ELGIN IV30 1EA
2058,EB EllisBriSW E20 1EN
2061,GR-Halton Court
2088,Baytree Centre Brentwood Essex CM14 4BX
2089,The Friary SC Guildford GU1 4YT
2093,GTR Brighton Depot East Sussex BN1 3XP
2094,S BrightonS
2101,S Gatwick Airport station South Terminal Gatwick Airport West Sussex RH6 0RD
2102,S GoAheadHouse
2110,73a Selhurst Rd London SE25 6AW
2111,S Selhurst ST
2186,O2 East Kilbride Glasgow G74 1LW
2193,Hobbycraft High Wycombe HP11 1FY
2202,Odeon Greenwich SE10 0QJ
2204,O2 DERBY DE1 2PG
2209,Homebase Basildon Mayflower Retail Park Gardiners Link SS16 4PR
2213,B Waterloo RD
2252,Odeon Orpington BR6 0TW
2257,"Homebse Horsham Broadbridge Heath Ret Pk, Broadbridge Heath RH12 3TQ"
2275,odeon surrey quays leisure park se16 7ll
2278,Pets at Home Havant 6 Solent Retail Park Solent Road PO9 1ND
2285,Unit 39 The Gyle Shopping Centre Edinburgh EH12 9JT
2286,Hobbycraft Bristol Causeway BS34 5TS
2298,Homebase Orpington BR5 3RP
2337,Hobbycraft Peterborough PE4 6ZR
2351,Wilko Walsall UNIT B QUASAR CENTRE TOWNSEND SQUARE WS1 1NG
2354,Odeon Manchester AMC M3 4EN
2363,BT Adastral Park Advance Comms Tech Centre Martlesham Heath Ipswich Suffolk IP5 3RE
2364,Hobbycraft Basildon SS14 1WP
2365,"Odeon Cardiff Hemingway Rd,Cardiff CF10 4JY"
2403,MULLER DIARY SEVENSIDE STONEHOUSE GL10 2DG
2421,Pets At Home Enfield 4A Crown Rd Enfield EN1 1AJ
2468,GTR East Croydon CR0 1LF
2469,Muller Severnside Gloucestershire GL10 2DG
2479,Odeon Brighton Kingswest West St Brighton BN1 2RE UK
2486,Homebase Staines Surrey TW18 3AP
2489,Pets at Home Aintree L9 5AN
2498,16/17 Princes Street Edinburgh EH2 2AN
2509,O2 Swindon SN1 1JY
2521,Lloyds TSB Exmouth EX8 1AG
2530,Fulham Broadway Retail Centre London SW6 1BW
2533,GR-Dagenham
2536,Muller Telford TF2 7GJ
2548,Homebase Hanworth Twickenham RdTwickenhamFeltham TW13 6EZ
2555,Marie Curie Hospice Solihull B91 2PQ
2559,Stewarts Lane Silverthorne Road London SW8 3EP Wandsworth 2
2574,O2 Poole 44 Falkland Square BH15 1ER
2587,Office Depot Leicester LE4 2BN
2590,O2-Kings Lynn 37 High Street KINGS LYNN PE30 3BJ
2602,TSB Perth St Johns Centre PH1 5UG
2604,Trinity Shopping Centre Leeds LS1 5AT
2605,The Orchards Shopping Centre TA1 3TP
2606,Pets at Home Basildon SS13 3BY
2609,101 Embankment Manchester M3 7FB
2610,BROADWAY SHOPPING CENTRE HAMMERSMITH W6 9YE
2657,One Portland Street Manchester M1 1RG
2664,"O2 Sheffield 59 High Street,Meadowhall,SHEFFIELD,South Yorkshire,S9 1EN"
2677,Collins Aerospace Chalker Way Banbury OX16 4XD
2680,Odeon Hatfield AL10 9TF
2690,Petroleum Experts Edinburgh EH7 4HG
2691,Emerson Green Bristol BS16 7AD
2703,O2 Nottingham NG1 3QN
2714,O2 Tyne And Wear NE11 9YR
2723,UTC Aerospace Wolverhampton WV10 7EH
2727,Barclays Northampton NN1 2HG
2743,GKN Aerospace Western ApproachAvonmouthBristol BS354GG
2749,The Friary Guildford Surrey GU1 4YT
2751,Mercedes F1 Reynard Brackley NN13 7BD
2763,Palace Gardens Shopping Centre EN2 6SN
2772,S Feltham Station SWR
2780,Safran Burnley BB10 2TQ
2782,UTC Overthorpe Rd Banbury OX16 4SX
2807,Tesco Welwyn Garden AL7 1TW
2817,Pets at Home Prescot L34 5NQ
2824,Homebase Brentford TW7 5QE
2830,"O2-BANBURY,Oxfordshire,OX16 5UW"
2885,GKN ATS LUTON BEDFORDSHIRE LU2 9PQ
2891,Resorts World Birmingham Pendigo Way Birmingham B40 1NT
