Date, Name , Memo , Barclays 53895114 ,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-22,A2Z SECURITY SERVICES LTD,A2Z SECURITY LIMIT    INVOICE            BBP, 771.50 ,,,,,,,,,,,,,,,,,,,,,,,
24-Mar-22,A2Z SECURITY SERVICES LTD,A2Z SECURITY LIMIT    INVOICE            BBP, 771.50 ,,,,,,,,,,,,,,,,,,,,,,,
24-Oct-22,AA GUARDS LIMITED,AAGUARD LTD           AS INVOICED BBP," 5,380.20 ",,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,AA GUARDS LIMITED,AAGUARD LTD           AS INVOICED BBP," 6,503.04 ",,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,AA GUARDS LIMITED,AAGUARD LTD           AS INVOICED BBP," 4,896.11 ",,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,AA GUARDS LIMITED,AAGUARD LTD           AS INVOICED BBP," 4,892.46 ",,,,,,,,,,,,,,,,,,,,,,,
3-Mar-23,AA GUARDS LIMITED,AAGUARD LTD           AS INVOICED BBP," 5,114.09 ",,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,AA GUARDS LIMITED,AAGUARD LTD           AS INVOICED BBP," 3,258.86 ",,,,,,,,,,,,,,,,,,,,,,,
28-Apr-23,AA GUARDS LIMITED,AA GUARD LTD           AS INVOICED BBP," 5,319.60 ",,,,,,,,,,,,,,,,,,,,,,,
23-Sep-21,AAAS SECURITY,AAAS SECURITY COMP    INVOICE            BBP," 5,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
27-Sep-21,AAAS SECURITY,AAAS SECURITY COMP    INVOICE            FT ," 7,186.00 ",,,,,,,,,,,,,,,,,,,,,,,
19-Oct-21,AAAS SECURITY,AAAS SECURITY COMP    INVOICE            FT ," 7,186.00 ",,,,,,,,,,,,,,,,,,,,,,,
20-Oct-21,AAAS SECURITY,AAAS SECURITY COMP    INVOICE            FT ," 8,856.00 ",,,,,,,,,,,,,,,,,,,,,,,
22-Mar-22,ABEESO SECURITY AND CLEANING SERVICES LTD,ABEESO SECURITY SE    INVOICE            BBP," 3,500.00 ",,,,,,,,,,,,,,,,,,,,,,,
24-Mar-22,ABEESO SECURITY AND CLEANING SERVICES LTD,ABEESO SECURITY SE    INVOICE289         BBP," 9,800.54 ",,,,,,,,,,,,,,,,,,,,,,,
28-Mar-22,ABEESO SECURITY AND CLEANING SERVICES LTD,ABEESO SECURITY SE    INVOICE290         FT ," 8,319.16 ",,,,,,,,,,,,,,,,,,,,,,,
31-Mar-22,ABEESO SECURITY AND CLEANING SERVICES LTD,ABEESO SECURITY SE    INVOICE291         BBP," 12,550.90 ",,,,,,,,,,,,,,,,,,,,,,,
4-Apr-22,ABEESO SECURITY AND CLEANING SERVICES LTD,ABEESO SECURITY SE    INVOICE 295        BBP," 11,349.00 ",,,,,,,,,,,,,,,,,,,,,,,
19-Apr-22,ABEESO SECURITY AND CLEANING SERVICES LTD,ABEESO SECURITY SE    INVOICE 325        BBP," 5,255.20 ",,,,,,,,,,,,,,,,,,,,,,,
10-Mar-22,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 10,361.00 ",,,,,,,,,,,,,,,,,,,,,,,
19-Apr-22,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED        BBP," 2,907.00 ",,,,,,,,,,,,,,,,,,,,,,,
15-Jul-22,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED FT," 12,712.39 ",,,,,,,,,,,,,,,,,,,,,,,
22-Aug-22,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 20,670.00 ",,,,,,,,,,,,,,,,,,,,,,,
22-Nov-22,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED FT," 8,679.72 ",,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 2,176.68 ",,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 6,647.04 ",,,,,,,,,,,,,,,,,,,,,,,
28-Nov-22,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 6,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 26,093.15 ",,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 25,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
24-Feb-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 26,244.20 ",,,,,,,,,,,,,,,,,,,,,,,
1-Mar-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP, 551.00 ,,,,,,,,,,,,,,,,,,,,,,,
3-Mar-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 17,542.64 ",,,,,,,,,,,,,,,,,,,,,,,
22-Mar-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED FT," 17,542.00 ",,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 20,478.61 ",,,,,,,,,,,,,,,,,,,,,,,
28-Apr-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 29,433.95 ",,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,CAPITAL PROTECTIONS LTD,CAPITAL PROTECTION    PAYMENT BBP, 811.70 ,,,,,,,,,,,,,,,,,,,,,,,
27-Feb-23,CAPITAL PROTECTIONS LTD,CAPITAL PROTECTION    PAYMENT BBP," 3,915.00 ",,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,CAPITAL PROTECTIONS LTD,CAPITAL PROTECTION    PAYMENT BBP, 108.00 ,,,,,,,,,,,,,,,,,,,,,,,
28-Apr-23,CAPITAL PROTECTIONS LTD,CAPITAL PROTECTION    PAYMENT BBP," 1,622.82 ",,,,,,,,,,,,,,,,,,,,,,,
28-Nov-22,COMPLIANCE SECURITY SERVICES LTD,COMPLIANCE SECURIT    AS INVOICED BBP," 29,409.60 ",,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,COMPLIANCE SECURITY SERVICES LTD,COMPLIANCE SECURIT    AS INVOICED BBP," 14,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,COMPLIANCE SECURITY SERVICES LTD,COMPLIANCE SECURIT    AS INVOICED BBP," 8,469.57 ",,,,,,,,,,,,,,,,,,,,,,,
