Client ID,Client Name,Address,City,Postcode,Contact Name,Contact Email,Contact Phone,Contract Reference
1,ISS World,2012SecurityLtd50SeymourStreetLondon,London,x,"",securitycomcen@uk.issworld.com,"",""
2,OSS,"","","","",helpdesk@ossmanagedservices.com,"",""
3,Brooknight Security Ltd,"","",MK1 1SW,"",mkoffice@brooknight.com,"",""
7,Carlisle Security,"","",WC1N 3AX,"",support@carlislesupportservices.com,"",""
8,Interr Security,"","","","",control@interr.com,"",""
9,SSG UK,1 Milton Court 85 Hoe Street London,London,E17 4SA,"","hafiz.tahir@ssgukltd.com,control@ssgukltd.com","",""
10,Grosvenor,"","","","",naser@grosvenorsecurity.net,"",""
11,OCS Security,"","","","",control.team@ocs.com,"",""
12,STM Security,"","","","",booking@stmgroupltd.com,"",""
13,SWL Security,"","","","","","",""
14,1stNationwide Security,"","","","",carole.jones@1stnationwidesecurity.co.uk,"",""
15,Andrew International,"","","","",control@andrewsinternational.co.uk,"",""
16,Bridge Security,1000 Hello X Music Llp 27 Old Gloucester Street London Greater London,London,WC1N 3AX,"",molly.hibberd@bridgesecurityservices.com,"",""
17,Danhouse,"","","","",Neil.Barham@danhouse.co.uk,"",""
18,Ellis Birgham,"","","","",tnfstratford@ellis-brigham.com,"",""
43,PHOENIX SECURITY,i2 OFFICE 4TH FLOOR 78 Cannon Street  LONDON EC4N 6HL,"","","","","",""
55,Euro Tech,"","","","","","",""
65,GRAHAM SECURITY,"","","","","","",""
80,Brits Security,"","","","","","",""
89,Berry Lane Chorleywood,"","","","","","",""
95,Gallow Glass,"","","","","","",""
106,Carter Construction,Sheldrick Way,"",IP28 7JX,"",ha@rgcarter.co.uk,"",""
111,GR8 SECURITY,"","",B3 3AS,"",ops@gr8uk.com,"",""
130,Showsec,"","","","","","",""
161,Aamir Security,"","","","","","",""
190,SB Security Solutions Ltd,Action Pump Unit 5 Aysgarth Road Waterlooville Hampshire,Waterlooville,PO7 7UG,"",steve.langley@sbsecuritysolutions.co.uk,"",""
320,Galaxon Services Ltd,1 Mill Lane Woodford Green Essex,Woodford Green,IG8 0UN,"",info@galaxonservices.co.uk,"",""
333,GMS Security," GMS House B60 3DR, UK","",B60 3DR,"","","",""
335,Incentive Lynx,"44 Loman St, London SE1 0EH, UK","",SE1 0EH,"","Eugene.Jonas@incentive-lynx.com,Adrian.Rutland@vsg.co.uk","",""
391,TARIQ,"","","","","","",""
410,WARD SECURITY,River Rochester and Strood,Rochester and Strood,ME4 4TZ,"",control@ward-security.co.uk,"",""
411,Pavilion Venue Ltd,Markhouse Walthamstow,Walthamstow,E17 9PX,"",abc@gmail.com,"",""
420,Secure Vision,"","","","","","",""
428,Carlisle Support Services,1 Milton Court 85 Hoe Street London,London,E174SA,"",lcc.control@carlislesupportservices.com,"",""
443,UK PROTECTION LTD,A & O Acquisitions Ltd 34 South Molton Street London,London,W1K 5RG,"","155security@ukprotectionltd.co.uk,control@ukprotectionltd.co.uk","",""
468,2012Security,2012SecurityLtd50SeymourStreetLondon,London,W1H 7JG,"",scott.l@2012sec.co.uk,"",""
486,MK9 Security Services,12 Abbey Road Barking Essex,Barking,IG11 7BZ,"",helpdesk@mk9services.com,"",""
540,Guardian FM,1 Milton Court 85 Hoe Street London,London,E174SA,"",sheraz@guardianfm.co.uk,"",""
547,Securitas UK,"","",WC1B 5EH,"",communications.centre@securitas.uk.com,"",""
563,BLUE DOOR PROPERTY GUARDIANS,1000 Hello X Music Llp 27 Old Gloucester Street London Greater London,London,WC1N 3AX,"","admin@bluedoorpropertiesguardians.co.uk,brian.smith@guardianfm.co.uk","",""
567,Oak Security Services,10 Uphall Road Ilford Essex,Ilford,IG1 2JF,"",Kamran@OakSecurityServices.co.uk,"",""
577,Omni Security,1 Avro Court Ermine Business Park Huntingdon Cambridgeshire,Huntingdon,PE29 6XS,"","operations@omnisecurity.co.uk,control@omnisecurity.co.uk","",""
578,Intraguard Limited,1 Mobile Devonshire House 582 Honeypot Lane Stanmore Greater London,Stanmore,HA7 1JS,"",control@intraguard.co.uk,"",""
579,Churchill Security Limited,4 Western Avenue Buckshaw Village Chorley Lancashire,Chorley,PR7 7NB,"","LToker@churchillSecurity.co.uk,Control@ChurchillSecurity.co.uk","",""
580,Bardwood Support Services,1 Roman Court Hurricane Way Wickford Essex,Wickford,SS11 8YB,"",Operations.centre@bardwoodsupportservices.com,"",""
581,G4S UK,Association of the British Pharmaceutical Industry Southside 105 Victoria Street London,London,SW1E 6QT,"","","",""
582,Main,Main,Main,Main 1,"",Main 1,"",""
585,Abc,"","","","",ali@gmail.com,"",""
586,Abbey Distribution Ltd ,5 Lisle Road High Wycombe Buckinghamshire,High Wycombe,HP13 5SH,"",nick.cat@abbeydistribution.com,"",""
587,Alandale Logistics UK,3 Selsdon Way London,London,E14 9GL,"",control@alandaleuk.com,"",""
588,ABK Security,Imperial Fields Bishopsford Road Morden Surrey,Morden,SM4 6BF ,"",control@abksecurity.com,"",""
589,O Neil & Brennan,88 Darkes Lane Potters Bar Hertfordshire,Potters Bar,EN6 1AG ,"",g.greenspan@oandb.co.uk,"",""
590,Paratus Limited,Guildford College Worplesdon Guildford Surrey,Guildford,GU3 3PE,"",ed@paratus.org.uk,"",""
592,RSS,Jobcentre Plus Crown Buildings Laneham Street Scunthorpe Lincolnshire,Scunthorpe,DN15 6JT   ,"",richardshort@rssecurityservices.co.uk,"",""
593,Tutelar Security,B B A S Ltd Unit 9a Basepoint Enterprise Centre Stroudley Road Basingstoke Hampshire,Basingstoke,RG24 8UP,"",paul@tutelarsecurity.co.uk,"",""
594,Duncan Sarah,1 Council Bungalow Hanby Lane Welton le Marsh Spilsby Lincolnshire,Spilsby,PE23 5TQ,"",dunc86@yahoo.co.uk,"",""
595,Sue Kim,Flat 1 1 Manciple Street London,London,SE1 4AP,"",suecheetham@mac.com,"",""
596,Purple Bricks,1 Cranmore Drive Shirley Solihull West Midlands,Solihull,B90 4RZ ,"",omer.durrani@purplebricks.com,"",""
597,TNP Ltd,1 Hargham Road Shropham Attleborough Norfolk,Attleborough,NR17 1DS,"",sheila.grist@tnpltd.com,"",""
598,Darke Engineering,Darke Engineering Ltd Unit 1 Lime Kiln Lane Stilton Peterborough Cambridgeshire,Peterborough,PE7 3US,"",jo.curtis@darkeengineering.co.uk,"",""
599,C S S Limited,32 St Andrews Street Cambridge Cambridgeshire,Cambridge,CB2 3AR,"",info@c-s-s.net,"",""
600,Amberstone Security Ltd,10 London Road Great Chesterford Saffron Walden Essex,Saffron Walden,CB10 1NY,"",jerome.francourt@amberstone.co.uk,"",""
601,Maxipower Security FMG,313a High Road Romford Essex,Romford,RM6 6AX,"",support@maxipower.net,"",""
602,Maxi Power,10 Shackleton Way London,London,E16 2GX,"",support@maxipower.net,"",""
603,Lingwood Security,Lingwood Security Management Ltd 6 Penrod Way Heysham Morecambe Lancashire,Morecambe,LA3 2UZ,"",summer@lingwoodsecurity.com,"",""
604,kssnwltdcouk,14 Marsden Street Westhoughton Bolton Lancashire,Bolton,BL5 3AQ ,"",floyd@kssnwltd.co.uk,"",""
605,Lodge Service,11 Gosditch Street Cirencester Gloucestershire,Cirencester,GL7 2AG,"",gwootton@lodgeservice.com,"",""
606,Delta force Group,"",Rainham,"","","","",""
607,EMCOR Group,4 Sovereign Court Lancaster Way Ermine Business Park Huntingdon Cambridgeshire,Huntingdon,PE29 6XU,"",Ben.Varley@emcoruk.com,"",""
608,Unrivalled SS Ltd,14 High Street Leicester Leicestershire,Leicester,LE1 4FQ,"",sales@unrivalledsecurity.co.uk,"",""
609,zeglobal,Aircraft Restoration Co Building 425 Duxford Airfield Duxford Cambridge Cambridgeshire,Cambridge,CB22 4QR,"",jvandermerwe@zeglobal.com,"",""
611,Servoca Secure Solutions,21 Romford Road London,London,E15 4LJ,"",james.goodwin@servoca.com,"",""
612,mitie services and security,1 Duchess Road Rutherglen Glasgow,London,G73 1AU,"","controllers@mitie.com,csm@mitie.com","",""
613,Atlian Servest,10 Ely Road Queen Adelaide Ely Cambridgeshire,Ely,CB7 4TZ,"",controllers.gb.servest@atalianworld.com,"",""
