Client Name,Address,City,Postcode,Contact Name,Contact Email,Contact Phone,Contract Reference,Notes
1stNationwide Security,,,,Carole Jones,carole.jones@1stnationwidesecurity.co.uk,,,
2012Security,2012SecurityLtd50SeymourStreetLondon,London,W1H 7JG,,scott.l@2012sec.co.uk,,,
Aamir Security,,,,,,,,
Abbey Distribution Ltd ,5 Lisle Road High Wycombe Buckinghamshire,High Wycombe,HP13 5SH,,nick.cat@abbeydistribution.com,,,
ABK Security,Imperial Fields Bishopsford Road Morden Surrey,Morden,SM4 6BF ,,control@abksecurity.com,,,
ABM Security,ABM UK 3rd Floor Green 14 Pier Walk London SE10 0ES,London,SE10 0ES,Peter Scott,peter.scott@abm.com,,,
ad2000groupltdcouk,Campaign Monitor Uk Ltd Northern And Shell Building 10 Lower Thames Street London,London,EC3R 6EN,Samantha,samantha@ad2000groupltd.co.uk,,,
Alandale Logistics UK,3 Selsdon Way London,London,E14 9GL,Andy,control@alandaleuk.com,,,
Alpha Realtors Ltd,"Grosvenor Road, Whittlesey",Cambridgeshire,PE7 1PU,Faisal Ayub,Info@alpharealtors.co.uk,,,
Ambassador Protection,1000 Hello X Music Llp 27 Old Gloucester Street London Greater London,London,WC1N 3AX,,hello@ambassadorprotection.co.uk,,,
Amberstone Security Ltd,10 London Road Great Chesterford Saffron Walden Essex,Saffron Walden,CB10 1NY,Jerpme,jerome.francourt@amberstone.co.uk,,,
Andrew International,,,,,control@andrewsinternational.co.uk,,,
ARUN District Council,Arun District Council 1 Maltravers Road Littlehampton BN17 5LF,Littlehampton UK,BN17 5LF,Julia Pearman,julia.pearman@arun.gov.uk,,,
Atlian Servest,10 Ely Road Queen Adelaide Ely Cambridgeshire,Ely,CB7 4TZ,Steve,controllers.gb.servest@atalianworld.com,,,
Balham Bowls Club," 7â€‘9 Ramsden Road , London ,SW12 8QX",London,SW12 8QX,Sarah,contact@balhambowlsclub.co.uk,,,
Bardwood Support Services,1 Roman Court Hurricane Way Wickford Essex,Wickford,SS11 8YB,,Operations.centre@bardwoodsupportservices.com,,,
Berry Lane Chorleywood,,,,,,,,
BLUE DOOR PROPERTY GUARDIANS,1000 Hello X Music Llp 27 Old Gloucester Street London Greater London,London,WC1N 3AX,,admin@bluedoorpropertiesguardians.co.uk,,,
Bridge Security,1000 Hello X Music Llp 27 Old Gloucester Street London Greater London,London,WC1N 3AX,Molly Hibberd,molly.hibberd@bridgesecurityservices.com,,,
Bridge Security Services,,,,Gabriel Greenspan,gabriel.greenspan@bridgesecurityservices.com,,,
Brits Security,,,,,,,,
Brooknight Security Ltd,,,MK1 1SW,Julia Adam,mkoffice@brooknight.com,,,
C S S Limited,32 St Andrews Street Cambridge Cambridgeshire,Cambridge,CB2 3AR,,info@c-s-s.net,,,
Carlisle Security,,,WC1N 3AX,,support@carlislesupportservices.com,,,
Carlisle Support Services,1 Milton Court 85 Hoe Street London,London,E174SA,,lcc.control@carlislesupportservices.com,,,
Carter Construction,Sheldrick Way,,IP28 7JX,,ha@rgcarter.co.uk,,,
Churchill Group,,London,,,,,,
Churchill Security Limited,4 Western Avenue Buckshaw Village Chorley Lancashire,Chorley,PR7 7NB,,LToker@churchillSecurity.co.uk,,,
Churchill Support Services,Acorn Developments Ltd Image Business Park Acornfield Road Knowsley Industrial Park Liverpool Merseyside,Liverpool,L33 7UF,,pcafferty@churchillsupportservices.com,,,
Danhouse,,,,Neil Barham,Neil.Barham@danhouse.co.uk,,,
Darke Engineering,Darke Engineering Ltd Unit 1 Lime Kiln Lane Stilton Peterborough Cambridgeshire,Peterborough,PE7 3US,Jo Curtis,jo.curtis@darkeengineering.co.uk,,,
darrell,2P Ventures Ltd 207 Regent Street London,London,W1B 3HH ,,,,,
Delta force Group,,Rainham,,,,,,
Duncan Sarah,1 Council Bungalow Hanby Lane Welton le Marsh Spilsby Lincolnshire,Spilsby,PE23 5TQ,,dunc86@yahoo.co.uk,,,
Ellis Birgham,,,,,tnfstratford@ellis-brigham.com,,,
Emanuel School,alaa.shaith@emanuel.org.uk,London,SW11 1HS,Christopher Wright ,www.Emanuel.org.uk,,,
EMCOR Group,4 Sovereign Court Lancaster Way Ermine Business Park Huntingdon Cambridgeshire,Huntingdon,PE29 6XU,Ben Varley,Ben.Varley@emcoruk.com,,,
Euro Tech,,,,,,,,
Excellerate Services,11 Knightswick Centre Canvey Island Essex,Canvey Island, SS8 7AD,Mike Armstrong,Mike.Armstrong@excellerateservices.com,,,
FAO Megan Lee GSS,Encore Envelopes Ltd Equinox 3 Audby Lane Wetherby West Yorkshire,Wetherby,LS22 7RD,Megan,megan@gssms.co.uk,,,
FGH Security,1 Netherton Cottages Eastnor Ledbury Herefordshire,Ledbury, HR8 1EN,brendan hughes,brendan.hughes@fghsecurity.co.uk,,,
First Response Group FRG,Avalon Book Company Ltd 8 Denmark Street London,London,WC2H 8LS,,,,,
First Star Facilities ltd,10a Clements Road Ilford Essex,Ilford,IG1 1BA,Ali Issah,aliissah@gmail.com,,,
G4S UK,Association of the British Pharmaceutical Industry Southside 105 Victoria Street London,London,SW1E 6QT,,,,,
Galaxon,19b Mill Lane Woodford Green Essex,Woodford Green,IG8 0UN,,info@galaxonservices.co.uk,,,
Galaxon Services Ltd,1 Mill Lane Woodford Green Essex,Woodford Green,IG8 0UN,,info@galaxonservices.co.uk,,,
Gallow Glass,,,,,,,,
GMS Security," GMS House B60 3DR, UK",,B60 3DR,,,,,
GR8 SECURITY,,,B3 3AS,,ops@gr8uk.com,,,
GRAHAM SECURITY,,,,,,,,
Grosvenor,,,,Naser,naser@grosvenorsecurity.net,,,
