Invoice Number,Supplier,Period Start,Period End,Subtotal,VAT Rate,VAT Amount,Total Amount,Status,Date Generated
"SBI-GUA-202304-0179","FIRST4FREELANCERS LIMITED","2023-04-01","2023-04-30","57898.94","20.00","11579.79","69478.73","approved","2023-05-03"
"SBI-GUA-202303-0166","RIA SECURITY LTD","2023-03-01","2023-03-31","4604.52","20.00","920.90","5525.42","approved","2023-04-07"
"SBI-GUA-202303-0167","XTREME PROFESSIONAL CLEANING LTD","2023-03-01","2023-03-31","50665.89","20.00","10133.18","60799.07","approved","2023-04-06"
"SBI-GUA-202303-0168","FIRST4FREELANCERS LIMITED","2023-03-01","2023-03-31","19930.56","20.00","3986.11","23916.67","approved","2023-04-03"
"SBI-GUA-202303-0169","FIRST CHOICE FM LTD","2023-03-01","2023-03-31","2051.28","20.00","410.26","2461.54","approved","2023-04-03"
"SBI-GUA-202303-0170","RKFM LTD","2023-03-01","2023-03-31","4401.48","20.00","880.30","5281.78","approved","2023-04-03"
"SBI-GUA-202303-0171","SECURE FIRST FM LTD","2023-03-01","2023-03-31","6722.76","20.00","1344.55","8067.31","approved","2023-04-03"
"SBI-GUA-202303-0172","FIRST ALLIED FACILITIES LTD","2023-03-01","2023-03-31","2454.10","20.00","490.82","2944.92","approved","2023-04-03"
"SBI-GUA-202303-0173","ALLIANCE FACILITIES MANAGEMENT LIMITED","2023-03-01","2023-03-31","24528.24","20.00","4905.65","29433.89","approved","2023-04-03"
"SBI-GUA-202303-0174","AAGUARD LTD","2023-03-01","2023-03-31","4432.89","20.00","886.58","5319.47","approved","2023-04-05"
"SBI-GUA-202303-0175","SECURITY ZONE MIDLANDS LIMITED","2023-03-01","2023-03-31","15576.00","20.00","3115.20","18691.20","approved","2023-04-07"
"SBI-GUA-202303-0176","REFINE SECURITY SERVICES LTD","2023-03-01","2023-03-31","4532.50","20.00","906.50","5439.00","paid","2023-04-06"
"SBI-GUA-202303-0177","MOXIE SECURITY LTD","2023-03-01","2023-03-31","4924.49","20.00","984.90","5909.39","paid","2023-04-06"
