Invoice Number,Supplier,Period Start,Period End,Subtotal,VAT Rate,VAT Amount,Total Amount,Status,Date Generated
"SBI-GUA-202404-0597","FIRST4FREELANCERS LIMITED","2024-04-01","2024-04-30","110852.17","20.00","22170.43","133022.60","paid","2024-05-03"
"SBI-GUA-202404-0598","CAPITAL PROTECTIONS LTD","2024-04-01","2024-04-30","4780.67","20.00","956.13","5736.80","paid","2024-05-02"
"SBI-GUA-202404-0599","SECURITY ZONE MIDLANDS LIMITED","2024-04-01","2024-04-30","8158.46","20.00","1631.69","9790.15","paid","2024-05-01"
"SBI-GUA-202404-0600","VITAL GUARDING FM LTD","2024-04-01","2024-04-30","3264.13","20.00","652.83","3916.96","paid","2024-05-04"
"SBI-GUA-202404-0601","A2Z SECURITY SERVICES LTD.","2024-04-01","2024-04-30","684.13","20.00","136.83","820.96","paid","2024-05-02"
"SBI-GUA-202404-0602","FAB 4 Security","2024-04-01","2024-04-30","2578.65","20.00","515.73","3094.38","paid","2024-05-01"
"SBI-GUA-202404-0603","RADLEIGH SECURITY & FM LIMITED","2024-04-01","2024-04-30","4971.36","20.00","994.27","5965.63","paid","2024-05-01"
"SBI-GUA-202404-0604","RKFM LTD","2024-04-01","2024-04-30","735.00","20.00","147.00","882.00","paid","2024-05-04"
"SBI-GUA-202404-0605","ALLIANCE FACILITIES MANAGEMENT LIMITED","2024-04-01","2024-04-30","597.36","20.00","119.47","716.83","paid","2024-05-05"
"SBI-NV-202404-0205","XTENSIBLE LOGIX LTD","2024-04-01","2024-04-30","2144.87","0.00","0.00","2144.87","paid","2024-05-04"
"SBI-NV-202404-0206","AAYAN FOOD BRISTOL LTD","2024-04-01","2024-04-30","87.88","0.00","0.00","87.88","paid","2024-05-05"
"SBI-GUA-202403-0587","FIRST4FREELANCERS LIMITED","2024-03-01","2024-03-31","103991.00","20.00","20798.20","124789.20","paid","2026-06-16"
"SBI-GUA-202403-0588","XTREME PROFESSIONAL CLEANING LTD","2024-03-01","2024-03-31","27655.98","20.00","5531.20","33187.18","paid","2026-06-16"
"SBI-GUA-202403-0589","REFINE SECURITY SERVICES LTD","2024-03-01","2024-03-31","20504.16","20.00","4100.83","24604.99","paid","2026-06-16"
"SBI-GUA-202403-0590","RADLEIGH SECURITY & FM LIMITED","2024-03-01","2024-03-31","7593.80","20.00","1518.76","9112.56","paid","2026-06-16"
"SBI-GUA-202403-0593","FAB 4 Security","2024-03-01","2024-03-31","3862.51","20.00","772.50","4635.01","paid","2026-06-16"
"SBI-GUA-202403-0594","A2Z SECURITY SERVICES LTD.","2024-03-01","2024-03-31","907.56","20.00","181.51","1089.07","paid","2026-06-16"
"SBI-GUA-202403-0595","CAPITAL PROTECTIONS LTD","2024-03-01","2024-03-31","2491.83","20.00","498.37","2990.20","paid","2026-06-16"
"SBI-GUA-202403-0596","ALLIANCE FACILITIES MANAGEMENT LIMITED","2024-03-01","2024-03-31","153.30","20.00","30.66","183.96","paid","2026-06-16"
"SBI-GUA-202403-0648","VITAL GUARDING FM LTD","2024-03-01","2024-03-31","4614.36","20.00","922.87","5537.23","paid","2024-04-03"
"SBI-GUA-202403-0649","SECURITY ZONE MIDLANDS LIMITED","2024-03-01","2024-03-31","9315.00","20.00","1863.00","11178.00","paid","2024-04-02"
"SBI-NV-202403-0203","XTENSIBLE LOGIX LTD","2024-03-01","2024-03-31","1831.50","0.00","0.00","1831.50","paid","2026-06-16"
"SBI-NV-202403-0204","AAYAN FOOD BRISTOL LTD","2024-03-01","2024-03-31","7617.36","0.00","0.00","7617.36","paid","2026-06-16"
"SBI-GUA-202402-0576","XTREME PROFESSIONAL CLEANING LTD","2024-02-01","2024-02-29","41665.85","20.00","8333.17","49999.02","paid","2026-06-16"
"SBI-GUA-202402-0577","FIRST4FREELANCERS LIMITED","2024-02-01","2024-02-29","90097.50","20.00","18019.50","108117.00","paid","2026-06-16"
"SBI-GUA-202402-0578","REFINE SECURITY SERVICES LTD","2024-02-01","2024-02-29","18862.56","20.00","3772.51","22635.07","paid","2026-06-16"
"SBI-GUA-202402-0579","FAB 4 Security","2024-02-01","2024-02-29","4596.00","20.00","919.20","5515.20","paid","2026-06-16"
"SBI-GUA-202402-0580","RADLEIGH SECURITY & FM LIMITED","2024-02-01","2024-02-29","3391.24","20.00","678.25","4069.49","paid","2026-06-16"
"SBI-GUA-202402-0581","SECURITY ZONE MIDLANDS LIMITED","2024-02-01","2024-02-29","5400.00","20.00","1080.00","6480.00","paid","2026-06-16"
"SBI-GUA-202402-0582","A2Z SECURITY SERVICES LTD.","2024-02-01","2024-02-29","1089.00","20.00","217.80","1306.80","paid","2026-06-16"
"SBI-GUA-202402-0583","VITAL GUARDING FM LTD","2024-02-01","2024-02-29","2418.36","20.00","483.67","2902.03","paid","2026-06-16"
"SBI-GUA-202402-0584","RKFM LTD","2024-02-01","2024-02-29","273.12","20.00","54.62","327.74","paid","2026-06-16"
"SBI-GUA-202402-0585","CAPITAL PROTECTIONS LTD","2024-02-01","2024-02-29","216.59","20.00","43.32","259.91","paid","2026-06-16"
"SBI-GUA-202402-0586","ALLIANCE FACILITIES MANAGEMENT LIMITED","2024-02-01","2024-02-29","501.75","20.00","100.35","602.10","paid","2026-06-16"
"SBI-NV-202402-0201","XTENSIBLE LOGIX LTD","2024-02-01","2024-02-29","4576.00","0.00","0.00","4576.00","paid","2026-06-16"
"SBI-NV-202402-0202","AAYAN FOOD BRISTOL LTD","2024-02-01","2024-02-29","3074.52","0.00","0.00","3074.52","paid","2026-06-16"
"SBI-GUA-202401-0566","FIRST4FREELANCERS LIMITED","2024-01-01","2024-01-31","91853.50","20.00","18370.70","110224.20","paid","2026-06-16"
"SBI-GUA-202401-0567","REFINE SECURITY SERVICES LTD","2024-01-01","2024-01-31","25505.76","20.00","5101.15","30606.91","paid","2026-06-16"
"SBI-GUA-202401-0568","XTREME PROFESSIONAL CLEANING LTD","2024-01-01","2024-01-31","14999.93","20.00","2999.99","17999.92","paid","2026-06-16"
"SBI-GUA-202401-0569","ALLIANCE FACILITIES MANAGEMENT LIMITED","2024-01-01","2024-01-31","1886.12","20.00","377.22","2263.34","paid","2026-06-16"
"SBI-GUA-202401-0570","VITAL GUARDING FM LTD","2024-01-01","2024-01-31","3377.04","20.00","675.41","4052.45","paid","2026-06-16"
