Supplier,Apr-21 to Mar-22,Apr-22 to Mar-23,Apr-23 to Mar-24,Apr-24 to Mar-25
A2Z SECURITY SERVICES LTD.,,, £12.00 , £12.50 
AAGUARD LTD,,, £11.00 ,
AAYAN FOOD BRISTOL LTD,,, £12.00 , £12.50 
AHMED CORPORATION LIMITED,, £10.50 ,,
ALLIANCE FACILITIES MANAGEMENT LIMITED,,, £11.50 , £12.00 
BORO SERVICES NE LTD,, £10.50 ,,
CAPITAL PROTECTIONS LTD,, £10.50 , £11.00 , £11.50 
COMPLIANCE SECURITY SERVICES LTD,, £10.50 , £11.00 ,
FAB 4 Security,,, £11.02 , £11.50 
FIRST ALLIED FACILITIES LTD,,, £12.00 ,
FIRST CHOICE FM LTD,,, £12.50 ,
FIRST4FREELANCERS LIMITED,,, £12.50 , £13.00 
GALAXON LTD,, £11.00 ,,
GO4GOLD FACILITIES MANAGEMENT LTD, £10.25 ,,,
GOOD GUARDING LTD, £10.00 , £10.50 ,,
High Alert Security, £10.00 ,,,
IMPAKTRO LTD, £10.00 , £11.00 ,,
KMD SOLUTIONS LTD, £10.00 , £10.50 ,,
MOXIE SECURITY LTD,,, £12.50 ,
MUGHAL  MULTIPLE  SERVICES LTD,,, £12.50 ,
NPB SECURITY LTD,, £11.00 ,,
PEACE UK SECURITY LTD,,, £12.50 ,
PRINCIPAL PROTECTION AND EVENTS LIMITED,,, £14.00 ,
Prisma Securities,,, £12.50 ,
PROSEC SOLUTIONS LTD,,, £12.50 ,
RADLEIGH SECURITY & FM LIMITED,,, £11.50 , £12.00 
REFINE SECURITY SERVICES LTD,,, £12.00 ,
RIA SECURITY LTD,,, £12.50 ,
RKFM LTD,,, £12.00 , £12.50 
SECURE FIRST FM LTD,,, £12.00 ,
SECURITY ZONE MIDLANDS LIMITED,,, £12.50 , £13.50 
SEQURE24 SECURITY LIMITED,,, £12.00 ,
SHAHSS LTD,, £10.50 ,,
SILICON MANAGEMENT CONSULTANTS LTD,,, £12.50 ,
TAURUS INVESTIGATION AND PROTECTION SERVICES LTD, £10.00 , £10.50 ,,
UK FORCE SERVICES LIMITED,,, £10.50 ,
VITAL GUARDING FM LTD,,, £12.00 , £12.50 
WG Associates One Ltd,,, £12.00 ,
XTENSIBLE LOGIX LTD,,, £11.00 , £11.50 
XTREME PROFESSIONAL CLEANING LTD,,, £11.75 ,
