Invoice No,Issue Date,Period Start,Period End,Invoice Amount,Bank Reference,Amount Paid,Date Paid,Status
SBI-GUA-202104-0229,09 May 2021,01 Apr 2021,30 Apr 2021,20000.00,FIRST4FREELANCERS FT,11557.83,28 May 2021,Paid
,,,,,FIRST4FREELANCERS FT,8442.17,28 May 2021,
SBI-GUA-202105-0231,04 Jun 2021,01 May 2021,31 May 2021,78823.27,FIRST4FREELANCERS 7759 BBP,3286.04,10 Jun 2021,Partial
,,,,,FIRST4FREELANCERS 7759 BBP,5286.04,10 Jun 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,30000.00,11 Jun 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,20000.00,28 Jun 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,20250.96,09 Jul 2021,
SBI-GUA-202106-0236,07 Jul 2021,01 Jun 2021,30 Jun 2021,72665.58,FIRST4FREELANCERS GUARDIANFM BBP,29749.04,09 Jul 2021,Paid
,,,,,FIRST4FREELANCERS BBP,15804.74,13 Jul 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,15000.00,10 Aug 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,10000.00,11 Aug 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,2111.80,17 Aug 2021,
SBI-GUA-202107-0240,07 Aug 2021,01 Jul 2021,31 Jul 2021,94344.86,FIRST4FREELANCERS GUARDIANFM FT,17888.20,17 Aug 2021,Paid
,,,,,FIRST4FREELANCERS 7759 FT,10000.00,23 Aug 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,8534.13,01 Sept 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,20000.00,02 Sept 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,12000.00,10 Sept 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,25922.53,13 Sept 2021,
SBI-GUA-202108-0244,06 Sept 2021,01 Aug 2021,31 Aug 2021,119748.24,FIRST4FREELANCERS GUARDIANFM BBP,24077.47,13 Sept 2021,Paid
,,,,,FIRST4FREELANCERS GUARDIANFM FT,22000.00,15 Sept 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,40000.00,06 Oct 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,25000.00,11 Oct 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,8670.77,11 Oct 2021,
SBI-GUA-202109-0248,07 Oct 2021,01 Sept 2021,30 Sept 2021,130878.56,FIRST4FREELANCERS GUARDIANFM FT,16329.23,11 Oct 2021,Paid
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,50000.00,09 Nov 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,45662.21,10 Nov 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,18887.12,01 Dec 2021,
SBI-GUA-202110-0252,08 Nov 2021,01 Oct 2021,31 Oct 2021,126239.16,FIRST4FREELANCERS GUARDIANFM BBP,21112.88,01 Dec 2021,Paid
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,50000.00,02 Dec 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,45000.00,09 Dec 2021,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,10126.28,05 Jan 2022,
SBI-GUA-202111-0256,06 Dec 2021,01 Nov 2021,30 Nov 2021,161002.90,FIRST4FREELANCERS GUARDIANFM FT,39873.72,05 Jan 2022,Paid
,,,,,FIRST4FREELANCERS GUARDIANFM FT,50000.00,07 Jan 2022,
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,36004.10,08 Feb 2022,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,25000.00,10 Mar 2022,
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,10125.08,10 Mar 2022,
SBI-GUA-202112-0260,06 Jan 2022,01 Dec 2021,31 Dec 2021,65129.57,FIRST4FREELANCERS GUARDIANFM BBP,39874.92,10 Mar 2022,Paid
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,25000.00,11 Mar 2022,
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,254.65,07 Apr 2022,
SBI-GUA-202201-0264,05 Feb 2022,01 Jan 2022,31 Jan 2022,85987.14,FIRST4FREELANCERS GUARDIANFM BBP,49745.35,07 Apr 2022,Paid
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,36241.79,08 Apr 2022,
SBI-GUA-202202-0269,06 Mar 2022,01 Feb 2022,28 Feb 2022,154792.45,FIRST4FREELANCERS GUARDIANFM BBP,13758.21,08 Apr 2022,Paid
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,25000.00,10 May 2022,
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,40000.00,11 May 2022,
,,,,,FIRST4FREELANCERS 7759 BBP,50000.00,10 Jun 2022,
,,,,,FIRST4FREELANCERS 7759 BBP,26034.24,06 Jul 2022,
SBI-GUA-202203-0276,08 Apr 2022,01 Mar 2022,31 Mar 2022,99305.72,FIRST4FREELANCERS 7759 BBP,23965.76,06 Jul 2022,Paid
,,,,,FIRST4FREELANCERS GUARDIANFM FT,50000.00,08 Aug 2022,
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,25339.96,08 Sept 2022,
SBI-GUA-202204-0283,04 May 2022,01 Apr 2022,30 Apr 2022,68234.15,FIRST4FREELANCERS GUARDIANFM BBP,24660.04,08 Sept 2022,Paid
,,,,,FIRST4FREELANCERS GUARDIANFM BBP,11000.00,11 Nov 2022,
,,,,,FIRST4FREELANCERS GUARDIANFM FT,32574.11,11 Nov 2022,
SBI-GUA-202205-0291,08 Jun 2022,01 May 2022,31 May 2022,62568.50,FIRST4FREELANCERS GUARDIANFM FT,17425.89,11 Nov 2022,Paid
