Invoice No,Issue Date,Period Start,Period End,Invoice Amount,Bank Reference,Amount Paid,Date Paid,Status
SBI-GUA-202201-0267,01 Feb 2022,01 Jan 2022,31 Jan 2022,10800.00,RK FM LTD INVOICE 0004 FT,10800.00,28 Feb 2022,Paid
SBI-GUA-202202-0274,01 Mar 2022,01 Feb 2022,28 Feb 2022,12278.00,RK FM LTD INVOICE BBP,10800.00,22 Mar 2022,Paid
,,,,,RK FM LTD JAV FT,1478.00,23 Mar 2022,
SBI-GUA-202203-0280,01 Apr 2022,01 Mar 2022,31 Mar 2022,12000.00,RK FM LTD AS INVOICED BBP,12000.00,19 Apr 2022,Paid
SBI-GUA-202204-0287,01 May 2022,01 Apr 2022,30 Apr 2022,12000.00,RK FM LTD AS INVOICED BBP,12000.00,25 May 2022,Paid
SBI-GUA-202205-0294,01 Jun 2022,01 May 2022,31 May 2022,5000.00,RK FM LTD AS INVOICED FT,5000.00,27 Jun 2022,Paid
SBI-GUA-202206-0300,01 Jul 2022,01 Jun 2022,30 Jun 2022,11749.82,RK FM LTD INVOICE BBP,11525.10,11 Jul 2022,Paid
,,,,,RK FM LTD INVOICE0017 BBP,224.72,20 Jul 2022,
SBI-GUA-202207-0306,01 Aug 2022,01 Jul 2022,31 Jul 2022,6977.00,RK FM LTD AS INVOICED FT,6977.00,05 Sept 2022,Paid
SBI-GUA-202208-0313,01 Sept 2022,01 Aug 2022,31 Aug 2022,10308.29,RK FM LTD AS INVOICED BBP,10308.29,28 Sept 2022,Paid
SBI-GUA-202209-0323,01 Oct 2022,01 Sept 2022,30 Sept 2022,11525.10,RK FM LTD INVOICE BBP,11525.10,07 Nov 2022,Paid
SBI-GUA-202210-0333,01 Nov 2022,01 Oct 2022,31 Oct 2022,28271.50,RK FM LTD INVOICE BBP,18271.68,23 Nov 2022,Paid
,,,,,RK FM LTD INVOICE BBP,9999.82,28 Dec 2022,
SBI-GUA-202211-0342,01 Dec 2022,01 Nov 2022,30 Nov 2022,41923.28,RK FM LTD INVOICE BBP,6423.99,28 Dec 2022,Paid
,,,,,RK FM LTD AS INVOICED BBP,18275.77,27 Jan 2023,
,,,,,RK FM LTD AS INVOICED BBP,13755.62,03 Mar 2023,
,,,,,RK FM LTD AS INVOICED FT,3467.90,27 Mar 2023,
SBI-GUA-202212-0351,01 Jan 2023,01 Dec 2022,31 Dec 2022,18275.71,RK FM LTD AS INVOICED FT,6138.50,27 Mar 2023,Partial
,,,,,RK FM LTD AS INVOICED BBP,5171.98,26 Apr 2023,
SBI-GUA-202301-0361,01 Feb 2023,01 Jan 2023,31 Jan 2023,13755.82,,0.00,,Unpaid
SBI-GUA-202302-0374,01 Mar 2023,01 Feb 2023,28 Feb 2023,9606.40,,0.00,,Unpaid
SBI-GUA-202303-0387,01 Apr 2023,01 Mar 2023,31 Mar 2023,5171.75,,0.00,,Unpaid

,,,Total Invoiced,209642.67,,174143.47,,
,,,Outstanding,35499.20,,,,
