Invoice No,Period Start,Period End,Invoice Amount,Bank Reference,Amount Paid,Date Paid,Status
SBI-GUA-202103-0226,01 Mar 2021,31 Mar 2021,115236.00,SILCON MANAGEMNET INVOICE FT,15808.90,04 May 2021,Paid
,,,,SILCON MANAGEMNET INVOICE BBP,11200.40,04 May 2021,
,,,,SILCON MANAGEMNET INVOICE FT,15408.58,04 May 2021,
,,,,SILCON MANAGEMNET INVOICE FT,49500.80,10 May 2021,
,,,,SILCON MANAGEMNET INVOICE FT,5208.80,11 May 2021,
,,,,SILCON MANAGEMNET INVOICE BBP,18108.52,17 May 2021,
SBI-GUA-202104-0228,01 Apr 2021,30 Apr 2021,72132.46,SILCON MANAGEMNET INVOICE FT,8050.80,17 May 2021,Paid
,,,,SILCON MANAGEMNET INVOICE BBP,31342.15,17 May 2021,
,,,,SILCON MANAGEMNET INVOICE FT,26508.80,19 May 2021,
,,,,SILCON MANAGEMNET INVOICE FT,6230.71,24 May 2021,
SBI-GUA-202105-0232,01 May 2021,31 May 2021,439151.86,SILCON MANAGEMNET INVOICE FT,3850.80,24 May 2021,Paid
,,,,SILCON MANAGEMNET INVOICE FT,7349.79,24 May 2021,
,,,,SILCON MANAGEMNET INVOICE FT,27500.80,01 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE FT,22500.80,01 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE FT,6850.80,10 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE BBP,49500.50,10 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE BBP,48390.56,11 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE FT,49500.50,15 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE FT,22580.90,17 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE FT,22508.80,17 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE FT,25805.80,18 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE FT,9508.80,21 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE FT,2580.74,21 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE FT,12580.58,22 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE FT,2580.58,23 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE FT,26000.00,24 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE FT,49580.50,29 Jun 2021,
,,,,SILCON MANAGEMNET INVOICE BBP,49980.61,30 Jun 2021,
SBI-GUA-202106-0237,01 Jun 2021,30 Jun 2021,292204.18,SILCON MANAGEMNET INVOICE BBP,0.29,30 Jun 2021,Paid
,,,,SILCON MANAGEMNET INVOICE FT,32085.80,07 Jul 2021,
,,,,SILCON MANAGEMNET INVOICE BBP,49567.45,07 Jul 2021,
,,,,SILCON MANAGEMNET INVOICE FT,48500.80,08 Jul 2021,
,,,,SILCON MANAGEMNET INVOICE BBP,19500.20,12 Jul 2021,
,,,,SILCON MANAGEMNET INVOICE FT,25850.00,14 Jul 2021,
,,,,SILCON MANAGEMNET INVOICE FT,15800.58,15 Jul 2021,
,,,,SILCON MANAGEMNET INVOICE BBP,29780.45,15 Jul 2021,
,,,,SILCON MANAGEMNET INVOICE FT,35650.09,16 Jul 2021,
,,,,SILCON MANAGEMNET INVOICE BBP,35468.52,21 Jul 2021,
SBI-GUA-202107-0241,01 Jul 2021,31 Jul 2021,12500.80,SILCON MANAGEMNET INVOICE BBP,0.38,21 Jul 2021,Paid
,,,,SILCON MANAGEMNET INVOICE FT,12500.42,20 Aug 2021,
SBI-GUA-202108-0245,01 Aug 2021,31 Aug 2021,15006.82,SILCON MANAGEMNET INVOICE FT,0.38,20 Aug 2021,Paid
,,,,SILCON MANAGEMNET INVOICE FT,10506.80,13 Sept 2021,
,,,,SILCON MANAGEMNET INVOICE FT,2000.00,15 Sept 2021,
,,,,SILCON MANAGEMNET INVOICE FT,2499.64,29 Sept 2021,
SBI-GUA-202109-0249,01 Sept 2021,30 Sept 2021,1200.14,SILCON MANAGEMNET INVOICE FT,0.36,29 Sept 2021,Paid
,,,,SILCON MANAGEMNET INVOICE FT,1199.78,03 Nov 2021,
SBI-GUA-202110-0253,01 Oct 2021,31 Oct 2021,36501.02,SILCON MANAGEMNET INVOICE FT,227.82,04 May 2021,Paid
,,,,SILCON MANAGEMNET INVOICE FT,15408.58,04 May 2021,
,,,,SILCON MANAGEMNET INVOICE FT,0.22,03 Nov 2021,
,,,,SILICON MANAGEMENT AS INVOICED BBP,4358.90,21 Apr 2022,
,,,,SILICON MANAGEMENT AS INVOICED BBP,9505.50,11 May 2022,
,,,,SILICON MANAGEMENT AS INVOICED FT,2000.00,03 Jan 2023,
,,,,SILICON MANAGEMENT AS INVOICED BBP,5000.00,26 Jan 2023,
SBI-GUA-202111-0257,01 Nov 2021,30 Nov 2021,33099.05,SILCON MANAGEMNET INVOICE BBP,11200.40,04 May 2021,Paid
,,,,SILCON MANAGEMNET INVOICE FT,15581.08,04 May 2021,
,,,,SILCON MANAGEMNET INVOICE FT,6317.57,10 May 2021,
SBI-GUA-202112-0261,01 Dec 2021,31 Dec 2021,15173.10,SILCON MANAGEMNET INVOICE FT,15173.10,10 May 2021,Paid
SBI-GUA-202201-0265,01 Jan 2022,31 Jan 2022,20313.61,SILCON MANAGEMNET INVOICE FT,20313.61,10 May 2021,Paid
SBI-GUA-202202-0270,01 Feb 2022,28 Feb 2022,20323.96,SILCON MANAGEMNET INVOICE FT,7696.52,10 May 2021,Paid
,,,,SILCON MANAGEMNET INVOICE FT,5208.80,11 May 2021,
