invoice_number,supplier,work_month,shifts,total_hours,hourly_rate,vat_rate,subtotal,vat_amount,total_amount,issue_date,days_after_period_end
SBI-GUA-202304-0606,AAGUARD LTD,2023-04,32,324.89,11.00,20.00,3573.79,714.76,4288.55,2023-05-04,4
SBI-GUA-202304-0616,ALLIANCE FACILITIES MANAGEMENT LIMITED,2023-04,233,2606.23,11.50,20.00,29971.66,5994.34,35966.00,2023-05-02,2
SBI-GUA-202304-0613,CAPITAL PROTECTIONS LTD,2023-04,24,295.01,11.00,20.00,3245.11,649.02,3894.13,2023-05-04,4
SBI-GUA-202304-0618,COMPLIANCE SECURITY SERVICES LTD,2023-04,23,262.06,11.00,20.00,2882.66,576.53,3459.19,2023-05-01,1
SBI-GUA-202304-0619,FAB 4 Security,2023-04,2,20.00,11.02,20.00,220.40,44.08,264.48,2023-05-03,3
SBI-GUA-202304-0611,FIRST CHOICE FM LTD,2023-04,15,128.48,12.50,20.00,1606.00,321.20,1927.20,2023-05-01,1
SBI-GUA-202304-0607,FIRST4FREELANCERS LIMITED,2023-04,343,3806.77,12.50,20.00,47584.78,9517.08,57101.86,2023-05-01,1
SBI-GUA-202304-0614,MOXIE SECURITY LTD,2023-04,20,200.78,12.50,20.00,2509.75,501.95,3011.70,2023-05-05,5
SBI-NV-202304-0207,PEACE UK SECURITY LTD,2023-04,33,390.08,12.50,0.00,4876.00,0.00,4876.00,2023-05-05,5
SBI-GUA-202304-0620,PPE Security,2023-04,120,1316.77,14.00,20.00,18434.78,3686.96,22121.74,2023-05-01,1
SBI-NV-202304-0208,PROSEC SOLUTIONS LTD,2023-04,9,112.61,12.50,0.00,1407.63,0.00,1407.63,2023-05-02,2
SBI-NV-202304-0209,Prisma Securities,2023-04,7,81.26,12.50,0.00,1015.75,0.00,1015.75,2023-05-02,2
SBI-GUA-202304-0617,RADLEIGH SECURITY & FM LIMITED,2023-04,96,1107.46,11.50,20.00,12735.80,2547.17,15282.97,2023-05-01,1
SBI-GUA-202304-0615,REFINE SECURITY SERVICES LTD,2023-04,46,517.10,12.00,20.00,6205.20,1241.04,7446.24,2023-05-03,3
SBI-GUA-202304-0610,RIA SECURITY LTD,2023-04,18,228.56,12.50,20.00,2857.00,571.40,3428.40,2023-05-02,2
SBI-GUA-202304-0612,RKFM LTD,2023-04,20,238.16,12.00,20.00,2857.92,571.58,3429.50,2023-05-04,4
SBI-GUA-202304-0609,SECURE FIRST FM LTD,2023-04,31,297.83,12.00,20.00,3573.96,714.79,4288.75,2023-05-01,1
SBI-GUA-202304-0608,SECURITY ZONE MIDLANDS LIMITED,2023-04,113,1380.66,12.50,20.00,17258.25,3451.65,20709.90,2023-05-05,5
SBI-GUA-202305-0621,ALLIANCE FACILITIES MANAGEMENT LIMITED,2023-05,11,143.00,11.50,20.00,1644.50,328.90,1973.40,2023-06-05,5
SBI-GUA-202305-0622,RADLEIGH SECURITY & FM LIMITED,2023-05,1,7.43,11.50,20.00,85.45,17.09,102.54,2023-06-03,3
SBI-GUA-202306-0623,ALLIANCE FACILITIES MANAGEMENT LIMITED,2023-06,1,13.00,11.50,20.00,149.50,29.90,179.40,2023-07-04,4
SBI-GUA-202306-0624,RADLEIGH SECURITY & FM LIMITED,2023-06,1,6.20,11.50,20.00,71.30,14.26,85.56,2023-07-01,1
SBI-GUA-202309-0625,XTREME PROFESSIONAL CLEANING LTD,2023-09,1,12.00,11.75,20.00,141.00,28.20,169.20,2023-10-01,1
SBI-GUA-202310-0626,A2Z SECURITY SERVICES LTD.,2023-10,1,6.76,12.00,20.00,81.12,16.22,97.34,2023-11-03,3
