Site Name,Address,City,Postcode,Latitude,Longitude,Client Name,Client Contact,Client Email,Client Phone,Contract Reference,Notes
061 OCDDK6 London 351 Oxford St 351 Oxford Street London GB London W1C 2JF,Colab Ltd Barratt House 341 349 Oxford Street London,London,NN1 2EW.,51.51442719,-0.147309005,1stNationwide Security,,securityoperationscentre@uk.issworld.com,,,
10 Lower Thames Street London EC3R 6EN,Northern Shell Building 10 Lower Thames Street London Greater London,London, EC3R 6EN,51.5089464,-0.0843503,ad2000groupltdcouk,,samantha@ad2000groupltd.co.uk,,,
Southwark Bridge Rd London EC4R 3TE,1 Cousin Lane London Greater London,London,EC4R 3TE,51.51009128,-0.09133675,Alandale Logistics UK,,control@alandaleuk.com,,,
"Lower Thames Crossing 10 Eurocourt, 0liver Close, West Thurrock RM20 3EE",1 Euro Court Oliver Close Grays Essex,Grays, RM20 3EE,51.470865,0.267734,Alandale Logistics UK,,control@alandaleuk.com,,,
Shard Place 2830 London Bridge SE19SG,11 15 Borough High Street London,London,SE19SE,51.50520325,-0.08916603,Alandale Logistics UK,,control@alandaleuk.com,,,
The Shard Snowfields London SE1 9SG,11 Borough High Street London,London,SE1 9SE,51.50520325,-0.08916603,Alandale Logistics UK,,control@alandaleuk.com,,,
Century Tower Shine Gate Chelmsford Essex CM2 0FQ,11 Century Tower Shire Gate Chelmsford Essex,Chelmsford,CM2 0FQ,51.73200475,0.465756185,Alandale Logistics UK,,control@alandaleuk.com,,,
Wardian Marsh Way E14 9SJ,161 Marsh Wall London,London,E14 9SJ,51.5024147,-0.023895748,Alandale Logistics UK,,control@alandaleuk.com,,,
7 Wotton Street SE1 8TG,17 Wootton Street London Surrey,London,SE1 8TG,51.5039817,-0.1086171,Alandale Logistics UK,,control@alandaleuk.com,,,
The Shard London SE1 9SG,20 26 London Bridge Street London,London,SE1 9SG,51.50513077,-0.088131502,Alandale Logistics UK,,control@alandaleuk.com,,,
Alandale Comms Room 9 Selsdon Way City Harbour E14 9GL,3 Selsdon Way London,London,E14 9GL,51.494902,-0.016332,Alandale Logistics UK,,control@alandaleuk.com,,,
Westfield Cherry Park Montfichet Road Site entrance by MS store Stratford E20 1EJ,3 Stratford Place Westfield Stratford City Montfichet Road London,London, E20 1EJ,51.544336,-0.006347,Alandale Logistics UK,,control@alandaleuk.com,,,
1 Berkeley Street W1J 8NE,52 Berkeley Street London,London,W1J 8ET,51.50730896,-0.142467722,Alandale Logistics UK,,control@alandaleuk.com,,,
18 Stoney Street Borough Market SE1 9AA,7 Stoney Street London,London, SE1 9AA,51.50511932,-0.091086082,Alandale Logistics UK,,control@alandaleuk.com,,,
101 Cleveland St W1T 6NG,84 Cleveland Street London,London,W1T 6NG,51.52212524,-0.140553147,Alandale Logistics UK,,control@alandaleuk.com,,,
Nova Victoria Bressenden Victoria SW1E 5RS,Carebright Ltd Unit 4 Tudor Works Beaconsfield Road Hayes Greater London,Hayes,SW1E 5RS,51.49742237,-0.141578949,Alandale Logistics UK,,control@alandaleuk.com,,,
Beaconsfield Road Hays UB4 0SL,Carebright Ltd Unit 4 Tudor Works Beaconsfield Road Hayes Greater London,Hayes,UB4 0SL,51.50986862,-0.394998372,Alandale Logistics UK,,control@alandaleuk.com,,,
The Applecart Beefeater Abingdon Oxfordshire OX14 4TX,Costa Coffee Drive Thru Milton Gate 2 A4130 Milton Abingdon Oxfordshire,Abingdon,OX14 4TX,51.61876452,-1.300175538,Alandale Logistics UK,,control@alandaleuk.com,,,
