contractor_id,contractor
4507,A Wiseman Guards
4539,A2Z Security Services Ltd
4542,AA Guard Ltd
4545,AAAS Security
4160,AAMIR GUARDS
4568,AD2000 Group Limited
4523,AJMAL LONDON
4567,Ali
4486,ALI STM
4517,Alliance Facilities Management Limited
4510,Alpesh Slough
4522,Alpine Services Ltd
4491,ALSADIQ ALTAHIR
4527,BAJINKA
4492,Bradly Sims Guards
4536,BRISK Security
4538,Budget Inventories
4562,Burak Security
4564,Capital Protections Ltd
4516,CHESIL security Ltd
4579,CIO Security
4558,Compliance Security Services
4535,Connect Security LTD
4557,David Secker security consultants
4578,Delta Force Group Ltd
4553,DIAKITE WALES  
4576,FAB 4 Security
4270,FAZAL
4508,First Allied Facilities Ltd
4583,First Choice FM Ltd
4584,First4Freelancers Ltd
19,GUARDIAN FM
4526,Gurmeet Singh Guards
4532,Hawkeye Support services
4519,HGAR BRISTON
4546,High Alert Security
4565,Impax Security Services Ltd
4577,Intrasecure
1157,JAVED IPSWITCH
1237,KABIR
4479,KHALID
4560,Khalid Contractor (WALES)
1337,KHURRAM
4548,KPK Security
4512,Lee Major Guards
4540,M AND R SECURITY
4559,MA Facilities Limited
4520,Mahin London Contractor
1120,MAIN
4585,Man Guard Security Services Ltd
4528,MARSHALL 247 SERVICES LTD
4521,Mega Security
4533,Metropolitan K9 Services Limited
4422,MOHAMMED JAVED
4573,Moxie Security Ltd
1116,Mughal Multiple Services Ltd
4552,MUSTAPHA M JENG
4424,NADEEM
4551,Nasir Dog Handder
4499,Nasir Guards
4572,O Neill and Brennan
1661,Onsite Bristol
4586,Origin Security Limited
4497,Osman Ali Isse
4550,Peace UK Security Ltd
4529,Phoenix Events
4544,PPE Security 
4587,Premier Resources Ltd
4575,Prisma Securities 
4588,Prosec Solutions Ltd
4483,Radleigh Security & FM Limited
4505,Raja Naeem Oxfordshire
4589,Red Apple Branding and Marketing Consultancy Ltd
4571,Refine Security Services Ltd
4511,RIA Security Ltd
4590,RK Security Limited
3,RKFM Ltd
4555,Roxen Security Limited
4591,RR Security Services Ltd
4534,RSS 
4592,Safety Security Services Ltd
1287,SARAM
4574,Sarsin Management 
1118,SDN Security Solutions Ltd
1127,Secure FirstFM Ltd
1117,SECURE TOWN
4569,Security Smart Ltd
1455,Security Zone Midlands Limited
4543,SERVESIFY LTD
4554,Shahnawaz GuardianFM
4500,Shahzad Guards
1663,Shamsuzama
4593,SILICON MANAGEMENT CONSULTANTS LTD
4580,Simple Life Security
4509,Slough Support Contractor
4582,Southeast FM
4549,Star Security
4598,Supplier Portal Test Co
4489,TALIB
4513,Taurus Investigation and Protection Services Ltd
1215,TEHSEEN
4581,TLC secure services limited
4556,TMT Security Ltd
4501,UK Force Services Limited
1660,Un-Allocated
1189,Vertex
4506,Victor Taneh Cont
4504,VSTORM SECURITY SERVICES LTD
4490,Waseem Tahir
4561,Watch K9 Security
4566,Xtreme Professional Cleaning Ltd
4594,Zain Securities Services LTD
1121,ZEESHAN
4547,ZFM Security Ltd
