seq,invoice_number,company_name,period_start,period_end,total_amount,inv_status
225,SBI-GUA-202103-0225,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2021-03-01,2021-03-31,6258.50,paid
226,SBI-GUA-202103-0226,SILICON MANAGEMENT CONSULTANTS LTD,2021-03-01,2021-03-31,115236.00,paid
230,SBI-GUA-202104-0230,FIRST4FREELANCERS LIMITED,2021-04-01,2021-04-30,20000.00,paid
231,SBI-GUA-202104-0231,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2021-04-01,2021-04-30,20508.80,paid
232,SBI-GUA-202104-0232,SILICON MANAGEMENT CONSULTANTS LTD,2021-04-01,2021-04-30,133334.65,paid
236,SBI-GUA-202105-0236,FIRST4FREELANCERS LIMITED,2021-05-01,2021-05-31,78823.27,paid
237,SBI-GUA-202105-0237,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2021-05-01,2021-05-31,62080.75,paid
238,SBI-GUA-202105-0238,SILICON MANAGEMENT CONSULTANTS LTD,2021-05-01,2021-05-31,377949.96,paid
239,SBI-GUA-202105-0239,UK FORCE SERVICES LIMITED,2021-05-01,2021-05-31,28632.50,paid
243,SBI-GUA-202106-0243,DELTA FORCE GROUP LTD,2021-06-01,2021-06-30,23471.26,paid
244,SBI-GUA-202106-0244,FIRST4FREELANCERS LIMITED,2021-06-01,2021-06-30,72665.58,paid
245,SBI-GUA-202106-0245,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2021-06-01,2021-06-30,193759.23,paid
246,SBI-GUA-202106-0246,SILICON MANAGEMENT CONSULTANTS LTD,2021-06-01,2021-06-30,292204.27,paid
247,SBI-GUA-202106-0247,UK FORCE SERVICES LIMITED,2021-06-01,2021-06-30,40000.00,paid
251,SBI-GUA-202107-0251,FIRST4FREELANCERS LIMITED,2021-07-01,2021-07-31,94344.86,paid
252,SBI-GUA-202107-0252,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2021-07-01,2021-07-31,569242.33,paid
253,SBI-GUA-202107-0253,SILICON MANAGEMENT CONSULTANTS LTD,2021-07-01,2021-07-31,12500.80,paid
